id,artist,title,release_date,popularity,decade,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
01u6AEzGbGbQyYVdxajxqk,Elvis Presley,Don't Be Cruel,1958-03-21,60,50,0.697,0.55,2,-11.496,1,0.179,0.856,3.44e-05,0.0907,0.844,84.802
3aEJMh1cXKEjgh52claxQp,Frank Sinatra,I've Got You Under My Skin - Remastered 1998,1956-03,67,50,0.585,0.247,1,-12.612,1,0.04,0.452,8.85e-06,0.107,0.591,127.15
307XEC1IUwUs9ojlEFwH7f,The Platters,Smoke Gets In Your Eyes,1995-01-01,0,50,0.29,0.227,3,-13.06,1,0.0311,0.944,7.95e-05,0.617,0.224,114.278
5yQ9iMZXGcr5rlO4hoLsP4,Ray Charles,"What'd I Say, Pt. 1 & 2",1959,63,50,0.54,0.681,4,-5.44,1,0.0508,0.808,0.0,0.162,0.794,88.385
3vFVS2WYHDG4KkWCNecvpn,Ella Fitzgerald,Dream A Little Dream Of Me,1996-06-04,0,50,0.455,0.167,0,-13.613,1,0.0739,0.918,0.0,0.173,0.404,76.118
50RwvvEKX5Q7AZt8FTAwIF,Buddy Holly,That'll Be The Day,1958-06-01,63,50,0.536,0.637,2,-7.774,1,0.0343,0.467,0.0,0.0838,0.798,115.24
06PdA0DLgF4BfAeUNZAbFG,Fats Domino,Blueberry Hill,1959-01-01,60,50,0.489,0.499,11,-9.702,1,0.0271,0.74,0.000236,0.156,0.829,133.341
72nqbbrKjhXmDdRXQGq115,The Everly Brothers,All I Have to Do Is Dream,2011-12-05,0,50,0.542,0.347,4,-14.011,1,0.0268,0.783,0.0,0.144,0.596,103.709
3E5ndyOfO6vFDEIE42HA8o,Bobby Darin,Mack the Knife,1959,60,50,0.549,0.529,3,-12.291,0,0.108,0.76,0.0,0.206,0.464,82.755
5ueyLj6e6oVaTY0KQ6yLaA,Elvis Presley,All Shook Up,1958-03-21,57,50,0.624,0.468,10,-12.162,1,0.132,0.881,6.35e-06,0.144,0.952,74.139
3x6wVKXfCm85Pw7gYo0rqq,Dean Martin,That's Amore,1989-01-01,52,50,0.407,0.17,10,-13.409,1,0.0341,0.76,0.0,0.0737,0.577,124.047
1slMt4LizkO9dVcMZItJ1O,Fats Domino,Jambalaya (On The Bayou),1988-03-03,0,50,0.605,0.845,6,-8.672,0,0.0596,0.819,0.000267,0.253,0.965,75.322
14T8UhqU8EaJpp3tRxqJbr,Phil Phillips,Sea Of Love,2009-02-15,0,50,0.289,0.353,7,-12.302,1,0.0292,0.862,1.35e-06,0.172,0.312,85.436
7ljPNANyoIDc7sL0PWaJlu,Buddy Holly,True Love Ways,2005-10-11,2,50,0.221,0.124,10,-19.545,1,0.0346,0.8,0.103,0.316,0.276,82.727
3YmELj8vHY6mKIzphgtQlM,Jerry Lee Lewis,Great Balls Of Fire,2013-07-11,0,50,0.468,0.527,7,-13.897,0,0.0683,0.554,0.0,0.061,0.855,159.501
11fNLqDB47gMKj7BHhR2Qr,The Everly Brothers,Wake up Little Susie,1964-08-01,62,50,0.709,0.62,2,-9.382,1,0.034,0.318,0.0,0.0426,0.936,93.723
1ZWIQXfAquWtLDK5aOUczS,Eddie Cochran,Summertime Blues,1960-05-01,0,50,0.717,0.883,9,-8.686,0,0.0608,0.125,0.167,0.176,0.942,156.299
3KzgdYUlqV6TOG7JCmx2Wg,Bobby Darin,Beyond the Sea,1959,67,50,0.521,0.516,2,-7.456,0,0.0369,0.723,0.0,0.257,0.569,136.483
3BUQFs6aFWh7EFNmI8bfL7,Chuck Berry,Johnny B. Goode,1959-01-01,0,50,0.516,0.798,10,-9.049,1,0.083,0.738,0.000128,0.305,0.969,168.195
40KCF1U2DNceYsugxZQruU,Sarah Vaughan,Broken Hearted Melody,2008-01-01,0,50,0.448,0.5,7,-11.304,1,0.0356,0.744,0.0,0.191,0.768,132.443
2OARIMw1hpehr86Iwmv04c,Buddy Holly,Peggy Sue,1958,61,50,0.676,0.424,9,-8.132,1,0.0329,0.947,0.000494,0.119,0.493,148.373
1vVY5vd4kowd70TdTuEjfV,The Everly Brothers,(‘Til) I Kissed You,2012-06-14,0,50,0.58,0.356,10,-12.894,0,0.0387,0.338,0.0,0.335,0.7,140.647
3mKdw0slI6wmnb1FBrvwn2,Frank Sinatra,I Get A Kick Out Of You,1962-07,54,50,0.395,0.375,5,-10.966,0,0.0381,0.555,0.0,0.576,0.775,178.105
7t8Tzd9FqVz2asFMCL0HpZ,Patti Page,Tennessee Waltz,2011-11-08,0,50,0.468,0.171,5,-10.905,1,0.0303,0.957,3.74e-05,0.142,0.357,86.525
79nJj5dMyTsUzKvN5jUXsJ,Ray Charles,I Can't Stop Loving You,2009-06-02,61,50,0.31,0.279,5,-13.552,1,0.0308,0.815,0.0,0.318,0.377,79.397
4ZfQwNx3FlCN07cnUvekh3,Fats Domino,Ain't That A Shame,1959-01-01,57,50,0.486,0.501,4,-8.57,1,0.0326,0.767,7.6e-05,0.0679,0.942,122.894
